RECORD_TYPE,DATA_NUMBER,DATA_TYPE,ORDER_NO,VENDOR_CODE,VENDOR_PLACE_CODE,VENDOR_NAME,RECEIVE_PLANT,RECEIVE_DOC,ISSUE_DATE,ISSUE_TIME,ORIGINAL_ORDER_NO,REASON_FOR_CHANGE_ORDER,PARTS_NO,PARTS_NAME,PACKAGING_CATEGORY,ORDER_TYPE,ORDERING_COMPANY,ORDER_QTY,CONTAINER_QTY,DELIVERY_SCHED,DELIVERY_SCHED_DATE,DELIVERY_SCHED_TIME,ORIGINAL_DELIVERY_SCHED,WH_LOCATION,WASH_ANTIRUST_CAT_THAI,CONTAINER_TYPE,CAPACITY_OF_CONTAINER,PACKAGING_UNIT,PART_NUMBER_LABEL,SPECIAL_LABEL_CODE,OUTER_CARTON,INNER_CARTON,CUSHIONING_MAT_CODE,REMARKS,COUNTRY_OF_ORIGIN,SUPPLIER_PARTS_NO,MILK_RUN_CATEGORY,MAT_PROVISION_CATEGORY,PACKAGING_CODE,CUSTOMER_CODE,CUSTOMER_ORDER_NO,CUSTOMER_ORDER_ITEM_NO,LABEL_FLAG,ACK_LIMIT_DATE,ACK_LIMIT_TIME,ASN_LIMIT_DATE,ASN_LIMIT_TIME,COUNTRY_NAME_OF_ORIGIN,FILE_NAME,FILLER,UPDATE_FLAG
1,6,  ,3P8A009900,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A009900,                    ,8980198841,LAMP ASM; RR COMB                       ,1,N/O  ,IMCT  ,10,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,111,          ,Y,3,  ,CST   ,GMT5525F16,6,0,20230901,163000,20231006,153000,THAILAND       ,              ,190 0               ,0
1,11,  ,3P8A010400,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A010400,                    ,8980094520,LAMP ASM; HEAD                          ,1,N/O  ,IMCT  ,6,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,111,          ,Y, ,  ,CST   ,GMT5525F16,11,0,20230901,163000,20231006,153000,THAILAND       ,              ,190 0               ,0
1,15,  ,3P8A010800,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A010800,                    ,8980198822,LAMP ASM; HEAD                          ,1,N/O  ,IMCT  ,1,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,111,          ,Y,3,  ,CST   ,GMT5525F16,15,0,20230901,163000,20231006,153000,THAILAND       ,              ,190 0               ,0
1,17,  ,3P8A011000,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A011000,                    ,8973334240,BULB; STOP LAMPHIGHMOUNTED             ,1,N/O  ,IMCT  ,20,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,0,          ,Y,3,  ,CST   ,GMT5525F16,17,0,20230901,163000,20231006,153000,JAPAN          ,              ,190 0               ,0
1,19,  ,3P8A011200,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A011200,                    ,8980246750,LAMP ASM; FRT COMB                      ,1,N/O  ,IMCT  ,1,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,111,          ,Y,3,  ,CST   ,GMT5525F16,19,0,20230901,163000,20231006,153000,THAILAND       ,              ,190 0               ,0
1,22,  ,3P8A011500,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A011500,                    ,8980246740,LAMP ASM; FRT COMB                      ,1,N/O  ,IMCT  ,5,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,111,          ,Y,3,  ,CST   ,GMT5525F16,22,0,20230901,163000,20231006,153000,THAILAND       ,              ,190 0               ,0
1,25,  ,3P8A011800,TKC   ,2,THAI KOITO CO.LTD. ,SPIMKD,  ,20230913,154958,3P8A011800,                    ,8980246710,LAMP ASM; HEAD                          ,1,N/O  ,IMCT  ,5,0,        ,20231003,0,20231003,       ,0,  ,0,1,     ,     ,     ,     ,     ,                    ,111,          ,Y, ,  ,CST   ,GMT5525F16,25,0,20230901,163000,20231006,153000,THAILAND       ,              ,190 0               ,0
